Fecha,"Salario mínimo, vital y móvil",Salario - Variación mensual (%),Salario - % acumulado,Dólar oficial,Dólar - Variación mensual (%),Dólar - % acumulado,Inflación mensual (%),Inflación acumulada (%)
2017-01-01,8060.0,6.61,106.61,16.1,0.31,100.31,1.6,101.5859
2017-02-01,8060.0,0.0,106.61,16.0,-0.62,99.69,2.1,103.6859
2017-03-01,8060.0,0.0,106.61,15.6,-2.5,97.2,2.4,106.1476
2017-04-01,8060.0,0.0,106.61,15.55,-0.32,96.88,2.7,108.9667
2017-05-01,8060.0,0.0,106.61,15.6,0.32,97.2,1.4,110.5301
2017-06-01,8060.0,0.0,106.61,16.25,4.17,101.25,1.2,111.8477
2017-07-01,8860.0,9.93,117.2,16.8,3.38,104.67,1.7,113.7852
2017-08-01,8860.0,0.0,117.2,17.785,5.86,110.81,1.4,115.3819
2017-09-01,8860.0,0.0,117.2,17.4,-2.16,108.41,1.9,117.5719
2017-10-01,8860.0,0.0,117.2,17.5,0.57,109.03,1.5,119.3528
2017-11-01,8860.0,0.0,117.2,17.8,1.71,110.9,1.4,120.994
2017-12-01,8860.0,0.0,117.2,17.45,-1.97,108.72,3.1,124.7956
2018-01-01,9500.0,7.22,125.66,18.649,6.87,116.19,1.8,126.9887
2018-02-01,9500.0,0.0,125.66,19.38,3.92,120.75,2.4,130.0606
2018-03-01,9500.0,0.0,125.66,20.151,3.98,125.55,2.3,133.1054
2018-04-01,9500.0,0.0,125.66,20.149,-0.01,125.54,2.7,136.7512
2018-05-01,9500.0,0.0,125.66,20.535,1.92,127.94,2.1,139.5893
2018-06-01,9500.0,0.0,125.66,24.98,21.65,155.64,3.7,144.8053
2018-07-01,10000.0,5.26,132.28,28.85,15.49,179.75,3.1,149.2966
2018-08-01,10000.0,0.0,132.28,27.525,-4.59,171.5,3.9,155.1034
2018-09-01,10700.0,7.0,141.53,36.85,33.88,229.6,6.5,165.2383
2018-10-01,10700.0,0.0,141.53,39.55,7.33,246.42,5.4,174.1473
2018-11-01,10700.0,0.0,141.53,35.67,-9.81,222.24,3.2,179.6388
2018-12-01,11300.0,5.61,149.47,37.72,5.75,235.02,2.6,184.2552
2019-01-01,11300.0,0.0,149.47,37.7,-0.05,234.89,2.9,189.6101
2019-02-01,11300.0,0.0,149.47,37.17,-1.41,231.59,3.8,196.7501
2019-03-01,12500.0,10.62,165.34,39.81,7.1,248.04,4.7,205.9571
2019-04-01,12500.0,0.0,165.34,42.715,7.3,266.14,3.4,213.0517
2019-05-01,12500.0,0.0,165.34,44.15,3.36,275.08,3.1,219.5691
2019-06-01,12500.0,0.0,165.34,44.76,1.38,278.88,2.7,225.537
2019-07-01,12500.0,0.0,165.34,42.37,-5.34,263.99,2.2,230.494
2019-08-01,14125.0,13.0,186.84,44.36,4.7,276.39,4.0,239.6077
2019-09-01,15625.0,10.62,206.68,59.51,34.15,370.78,5.9,253.7102
2019-10-01,16875.0,8.0,223.21,57.64,-3.14,359.13,3.3,262.0661
2019-11-01,16875.0,0.0,223.21,59.75,3.66,372.27,4.3,273.2158
2019-12-01,16875.0,0.0,223.21,59.94,0.32,373.46,3.7,283.4442
2020-01-01,16875.0,0.0,223.21,59.89,-0.08,373.15,2.3,289.8299
2020-02-01,16875.0,0.0,223.21,60.35,0.77,376.01,2.0,295.666
2020-03-01,16875.0,0.0,223.21,62.21,3.08,387.6,3.3,305.5515
2020-04-01,16875.0,0.0,223.21,64.53,3.73,402.06,1.5,310.1243
2020-05-01,16875.0,0.0,223.21,66.84,3.58,416.45,1.5,314.9087
2020-06-01,16875.0,0.0,223.21,68.63,2.68,427.6,2.2,321.9738
2020-07-01,16875.0,0.0,223.21,70.52,2.75,439.38,1.9,328.2014
2020-08-01,16875.0,0.0,223.21,72.32,2.55,450.59,2.7,337.0632
2020-09-01,16875.0,0.0,223.21,74.25,2.67,462.62,2.8,346.6207
2020-10-01,18900.0,12.0,250.0,76.25,2.69,475.08,3.8,359.657
2020-11-01,18900.0,0.0,250.0,78.32,2.71,487.98,3.2,371.0211
2020-12-01,20587.5,8.93,272.32,81.43,3.97,507.35,4.0,385.8826
2021-01-01,20587.5,0.0,272.32,84.15,3.34,524.3,4.0,401.5071
2021-02-01,20587.5,0.0,272.32,87.6,4.1,545.79,3.6,415.8595
2021-03-01,21600.0,4.92,285.71,90.09,2.84,561.31,4.8,435.8657
2021-04-01,23544.0,9.0,311.43,92.0,2.12,573.21,4.1,453.6503
2021-05-01,24408.0,3.67,322.86,93.56,1.7,582.93,3.3,468.725
2021-06-01,25272.0,3.54,334.29,94.73,1.25,590.22,3.2,483.6049
2021-07-01,27216.0,7.69,360.0,95.76,1.09,596.64,3.0,498.0987
2021-08-01,28080.0,3.17,371.43,96.69,0.97,602.43,2.5,510.3942
2021-09-01,31104.0,10.77,411.43,97.78,1.13,609.22,3.5,528.4968
2021-10-01,32000.0,2.88,423.28,98.79,1.03,615.51,3.5,547.0802
2021-11-01,32000.0,0.0,423.28,99.81,1.03,621.87,2.5,560.9184
2021-12-01,32000.0,0.0,423.28,101.0,1.19,629.28,3.8,582.4575
2022-01-01,32000.0,0.0,423.28,102.72,1.7,640.0,3.9,605.0317
2022-02-01,33000.0,3.12,436.51,105.12,2.34,654.95,4.7,633.4341
2022-03-01,33000.0,0.0,436.51,107.45,2.22,669.47,6.7,676.0566
2022-04-01,38940.0,18.0,515.08,111.12,3.42,692.34,6.0,716.9399
2022-05-01,38940.0,0.0,515.08,115.31,3.77,718.44,5.1,753.147
2022-06-01,45540.0,16.95,602.38,120.32,4.34,749.66,5.3,793.0278
2022-07-01,45540.0,0.0,602.38,125.45,4.26,781.62,7.4,851.761
2022-08-01,47850.0,5.07,632.94,131.89,5.13,821.74,7.0,911.1316
2022-09-01,51200.0,7.0,677.25,139.03,5.41,866.23,6.2,967.3076
2022-10-01,54550.0,6.54,721.56,147.32,5.96,917.88,6.3,1028.706
2022-11-01,57900.0,6.14,765.87,157.28,6.76,979.94,4.9,1079.2787
2022-12-01,61953.0,7.0,819.48,167.72,6.64,1044.98,5.1,1134.5875
2023-01-01,65427.0,5.61,865.44,177.16,5.63,1103.8,6.0,1202.979
2023-02-01,67743.0,3.54,896.07,187.29,5.72,1166.92,6.6,1282.7091
2023-03-01,69500.0,2.59,919.31,197.57,5.49,1230.97,7.7,1381.1601
2023-04-01,80342.0,15.6,1062.72,209.01,5.79,1302.24,8.4,1497.2147
2023-05-01,84512.0,5.19,1117.88,222.68,6.54,1387.41,7.8,1613.5895
2023-06-01,87987.0,4.11,1163.85,240.25,7.89,1496.88,6.0,1709.6115
2023-07-01,105500.0,19.9,1395.5,256.7,6.85,1599.38,6.3,1818.0838
2023-08-01,112500.0,6.64,1488.1,276.15,7.58,1720.56,12.4,2044.2832
2023-09-01,118000.0,4.89,1560.85,350.1,26.78,2181.31,12.7,2304.9242
2023-10-01,132000.0,11.86,1746.03,349.9501,-0.04,2180.37,8.3,2496.273
2023-11-01,146000.0,10.61,1931.22,349.9501,0.0,2180.37,12.8,2816.0628
2023-12-01,156000.0,6.85,2063.49,361.1,3.19,2249.84,25.5,3533.1922
2024-01-01,156000.0,0.0,2063.49,828.25,129.37,5160.44,20.6,4261.5324
2024-02-01,180000.0,15.38,2380.95,846.0,2.14,5271.03,13.2,4825.7881
2024-03-01,202800.0,12.67,2682.54,861.5,1.83,5367.6,11.0,5357.0929
2024-04-01,221052.0,9.0,2923.97,876.0,1.68,5457.94,8.8,5830.227
2024-05-01,234315.12,6.0,3099.41,896.0,2.28,5582.55,4.2,6073.717
2024-06-01,234315.12,0.0,3099.41,914.0,2.01,5694.7,4.6,6351.715
2024-07-01,254231.91,8.5,3362.86,932.5,2.02,5809.97,4.0,6607.748
2024-08-01,262432.93,3.23,3471.34,951.5,2.04,5928.35,4.2,6883.441
2024-09-01,268056.5,2.14,3545.72,972.0,2.15,6056.07,3.5,7122.242
2024-10-01,271571.22,1.31,3592.21,990.5,1.9,6171.34,2.7,7313.954
2024-11-01,271571.22,0.0,3592.21,1013.0,2.27,6311.53,2.4,7491.431
2024-12-01,279718.0,3.0,3699.97,1031.0,1.78,6423.68,2.7,7694.0075
2025-01-01,286711.0,2.5,3792.47,1052.5,2.09,6557.63,2.2,7864.1257
2025-02-01,292446.0,2.0,3868.33,1073.5,2.0,6688.47,2.4,8052.9927
2025-03-01,296832.0,1.5,3926.35,1084.25,1.0,6755.45,3.7,8353.3158
